"","article_name","year","yearweek_start","yearweek_end","month","week","promo_01","promo_02","promo_03","promo_04","promo_05","sales","date"
"106","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-01-08","2018-01-14",1,2,0,0,0,0,0,4840,"2018-01-08"
"107","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-01-15","2018-01-21",1,3,0,0,0,0,0,4467,"2018-01-15"
"108","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-01-22","2018-01-28",1,4,0,0,0,0,0,4625,"2018-01-22"
"109","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-01-29","2018-02-04",2,5,0,0,0,0,0,4573,"2018-01-29"
"110","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-02-05","2018-02-11",2,6,0,0,0,0,0,4067,"2018-02-05"
"111","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-02-12","2018-02-18",2,7,0,0,0,0,0,4491,"2018-02-12"
"112","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-02-19","2018-02-25",2,8,0,0,0,0,0,4678,"2018-02-19"
"113","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-02-26","2018-03-04",3,9,0,0,0,0,0,4745,"2018-02-26"
"114","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-03-05","2018-03-11",3,10,0,0,0,0,0,5059,"2018-03-05"
"115","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-03-12","2018-03-18",3,11,0,0,0,0,0,5002,"2018-03-12"
"116","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-03-19","2018-03-25",3,12,0,0,1,0,0,5201,"2018-03-19"
"117","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-03-26","2018-04-01",3,13,0,0,1,0,0,4631,"2018-03-26"
"118","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-04-02","2018-04-08",4,14,0,0,0,0,0,4254,"2018-04-02"
"119","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-04-09","2018-04-15",4,15,0,0,0,0,0,4911,"2018-04-09"
"120","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-04-16","2018-04-22",4,16,0,0,0,0,0,4869,"2018-04-16"
"121","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-04-23","2018-04-29",4,17,0,0,1,0,0,5452,"2018-04-23"
"122","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-04-30","2018-05-06",5,18,0,0,1,0,0,5235,"2018-04-30"
"123","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-05-07","2018-05-13",5,19,0,0,1,0,0,4753,"2018-05-07"
"124","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-05-14","2018-05-20",5,20,0,0,0,0,0,5166,"2018-05-14"
"125","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-05-21","2018-05-27",5,21,0,0,0,0,0,4722,"2018-05-21"
"126","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-05-28","2018-06-03",5,22,0,0,0,0,0,4895,"2018-05-28"
"127","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-06-04","2018-06-10",6,23,0,0,0,0,0,5002,"2018-06-04"
"128","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-06-11","2018-06-17",6,24,0,0,0,0,0,4682,"2018-06-11"
"129","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-06-18","2018-06-24",6,25,0,0,0,0,0,4931,"2018-06-18"
"130","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-06-25","2018-07-01",6,26,0,0,0,0,0,4962,"2018-06-25"
"131","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-07-02","2018-07-08",7,27,0,0,0,0,0,4769,"2018-07-02"
"132","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-07-09","2018-07-15",7,28,0,0,0,0,0,4638,"2018-07-09"
"133","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-07-16","2018-07-22",7,29,0,0,0,0,0,4251,"2018-07-16"
"134","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-07-23","2018-07-29",7,30,0,0,0,0,0,4423,"2018-07-23"
"135","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-07-30","2018-08-05",8,31,0,0,0,0,0,4548,"2018-07-30"
"136","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-08-06","2018-08-12",8,32,0,0,0,0,0,4866,"2018-08-06"
"137","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-08-13","2018-08-19",8,33,0,0,0,0,0,4749,"2018-08-13"
"138","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-08-20","2018-08-26",8,34,0,0,0,0,0,4993,"2018-08-20"
"139","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-08-27","2018-09-02",8,35,0,0,0,0,0,4775,"2018-08-27"
"140","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-09-03","2018-09-09",9,36,0,0,0,0,0,4381,"2018-09-03"
"141","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-09-10","2018-09-16",9,37,1,0,0,0,0,5178,"2018-09-10"
"142","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-09-17","2018-09-23",9,38,1,0,0,0,0,4422,"2018-09-17"
"143","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-09-24","2018-09-30",9,39,0,0,0,0,0,4453,"2018-09-24"
"144","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-10-01","2018-10-07",10,40,0,0,0,0,0,4033,"2018-10-01"
"145","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-10-08","2018-10-14",10,41,0,0,0,0,0,4122,"2018-10-08"
"146","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-10-15","2018-10-21",10,42,0,0,0,0,0,4640,"2018-10-15"
"147","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-10-22","2018-10-28",10,43,0,0,0,0,0,4600,"2018-10-22"
"148","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-10-29","2018-11-04",11,44,0,0,0,0,0,4414,"2018-10-29"
"149","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-11-05","2018-11-11",11,45,0,0,0,0,0,4551,"2018-11-05"
"150","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-11-12","2018-11-18",11,46,0,0,0,0,0,4508,"2018-11-12"
"151","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-11-19","2018-11-25",11,47,0,0,0,0,0,4417,"2018-11-19"
"152","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-11-26","2018-12-02",11,48,0,0,0,0,0,4405,"2018-11-26"
"153","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-12-03","2018-12-09",12,49,0,0,0,0,0,4132,"2018-12-03"
"154","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-12-10","2018-12-16",12,50,0,0,0,0,0,4152,"2018-12-10"
"155","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-12-17","2018-12-23",12,51,0,0,0,0,0,4907,"2018-12-17"
"156","AHA JOGHURT LAKTOSEF CLAS",2018,"2018-12-24","2018-12-30",12,52,0,0,0,0,0,3214,"2018-12-24"
"157","AHA JOGHURT LAKTOSEF CLAS",2019,"2018-12-31","2019-01-06",1,1,0,0,0,0,0,3947,"2018-12-31"
"158","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-01-07","2019-01-13",1,2,0,0,0,0,0,4954,"2019-01-07"
"159","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-01-14","2019-01-20",1,3,0,0,0,0,0,4696,"2019-01-14"
"160","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-01-21","2019-01-27",1,4,0,0,0,0,0,4747,"2019-01-21"
"161","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-01-28","2019-02-03",1,5,0,0,0,0,0,4817,"2019-01-28"
"162","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-02-04","2019-02-10",2,6,0,0,0,0,0,4681,"2019-02-04"
"163","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-02-11","2019-02-17",2,7,0,0,0,0,0,4679,"2019-02-11"
"164","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-02-18","2019-02-24",2,8,0,0,0,0,0,4864,"2019-02-18"
"165","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-02-25","2019-03-03",2,9,0,0,0,0,0,4622,"2019-02-25"
"166","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-03-04","2019-03-10",3,10,0,0,0,0,0,4890,"2019-03-04"
"167","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-03-11","2019-03-17",3,11,0,0,0,0,0,5007,"2019-03-11"
"168","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-03-18","2019-03-24",3,12,0,0,1,0,0,5477,"2019-03-18"
"169","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-03-25","2019-03-31",3,13,0,0,1,0,0,5144,"2019-03-25"
"170","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-04-01","2019-04-07",4,14,0,0,0,0,0,5149,"2019-04-01"
"171","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-04-08","2019-04-14",4,15,0,0,0,0,0,4958,"2019-04-08"
"172","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-04-15","2019-04-21",4,16,0,0,0,0,0,4826,"2019-04-15"
"173","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-04-22","2019-04-28",4,17,0,0,0,0,0,4444,"2019-04-22"
"174","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-04-29","2019-05-05",5,18,0,0,1,0,0,5665,"2019-04-29"
"175","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-05-06","2019-05-12",5,19,0,0,1,0,0,5379,"2019-05-06"
"176","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-05-13","2019-05-19",5,20,0,0,1,0,0,4931,"2019-05-13"
"177","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-05-20","2019-05-26",5,21,0,0,0,0,0,5094,"2019-05-20"
"178","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-05-27","2019-06-02",5,22,0,0,0,0,0,4787,"2019-05-27"
"179","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-06-03","2019-06-09",6,23,0,0,0,0,0,5354,"2019-06-03"
"180","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-06-10","2019-06-16",6,24,0,0,0,0,0,4499,"2019-06-10"
"181","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-06-17","2019-06-23",6,25,0,0,0,0,0,4654,"2019-06-17"
"182","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-06-24","2019-06-30",6,26,0,0,0,0,0,5128,"2019-06-24"
"183","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-07-01","2019-07-07",7,27,0,0,0,0,0,4995,"2019-07-01"
"184","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-07-08","2019-07-14",7,28,0,0,0,0,0,4205,"2019-07-08"
"185","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-07-15","2019-07-21",7,29,0,0,0,0,0,4204,"2019-07-15"
"186","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-07-22","2019-07-28",7,30,0,0,0,0,0,4624,"2019-07-22"
"187","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-07-29","2019-08-04",8,31,0,0,0,0,0,4024,"2019-07-29"
"188","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-08-05","2019-08-11",8,32,0,0,0,0,0,4922,"2019-08-05"
"189","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-08-12","2019-08-18",8,33,0,0,0,0,0,4418,"2019-08-12"
"190","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-08-19","2019-08-25",8,34,0,0,0,0,0,4780,"2019-08-19"
"191","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-08-26","2019-09-01",8,35,0,0,0,0,0,5042,"2019-08-26"
"192","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-09-02","2019-09-08",9,36,0,0,0,0,0,4769,"2019-09-02"
"193","AHA JOGHURT LAKTOSEF CLAS",2019,"2019-09-09","2019-09-15",9,37,0,0,0,0,0,4657,"2019-09-09"
